id,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
4BLHQIfrGZX6VKAmCjJwaZ,2,1,4,0.0734,0.617,0.941,0.896,0.223,-4.563,0.0575,0.48,130.002,221538
09jtkoDUOrPYTGtLkZHmUC,6,0,4,0.224,0.574,0.946,0.0518,0.143,-4.2,0.0786,0.0987,150.06,191925
0SKVjoiako220mL4Y6mbjG,3,0,4,0.00714,0.552,0.968,0.853,0.356,-4.173,0.0813,0.133,127.964,255938
5INr5BetUwjIkbdNbvGMrY,7,1,4,0.00825,0.663,0.922,0.913,0.32,-3.195,0.0616,0.39,129.996,211154
6gcq7ZVtwdMoeWbIVC2lZs,5,0,4,0.00976,0.53,0.968,0.0058,0.317,-4.102,0.0485,0.0705,149.975,235926
06FnnUyne2gUYR0HRqwAVm,4,0,4,0.00435,0.677,0.696,0.233,0.402,-3.513,0.173,0.2,128.0,288765
6oMo65Y8Nxnl6RX6k9buTL,1,0,4,0.0507,0.809,0.873,0.0136,0.154,-4.281,0.19,0.48,124.952,187642
4yOJAsHfk50n62T2fHOEkd,3,0,4,0.0311,0.737,0.713,0.488,0.0866,-7.039,0.139,0.139,128.002,393750
2gHlwINF5FNCR5AArpIsVW,2,1,4,0.0092,0.678,0.88,0.0239,0.298,-6.699,0.049,0.395,139.963,246866
30jTflhN1ExdH9RCBTVlcl,0,0,4,0.0399,0.82,0.723,0.185,0.109,-5.015,0.068,0.536,119.988,289528
5nBOBwQKjPsccbwrfmBYB4,10,1,4,0.24,0.77,0.74,7.94e-06,0.111,-4.52,0.0455,0.371,106.917,182850
7uW0ka0C4tdkKhTVXhvRVn,5,0,4,0.0265,0.554,0.959,0.00124,0.401,-4.121,0.0589,0.308,128.031,173906
0wmgMIkwynnQjPqgAdW0Jg,1,0,4,0.0251,0.806,0.815,5.3e-05,0.0502,-5.527,0.0495,0.393,124.049,158493
6SHeR8vXVKPk2c6xR2PiQD,11,0,4,0.211,0.729,0.947,0.822,0.367,-3.103,0.0458,0.209,130.005,211000
5fhQrF5Tq4Y0ww2ZQFmsbm,1,1,4,0.124,0.511,0.809,0.0,0.516,-3.872,0.0717,0.418,127.896,255096
1ReI4ZlpCqZA8AyeWf418b,8,1,4,0.0112,0.408,0.879,0.000703,0.124,-4.676,0.119,0.525,128.603,200234
0mB5EYWtWNBqN5DtZZHzq1,1,0,4,0.0138,0.301,0.957,0.918,0.283,-5.514,0.124,0.445,136.113,205411
2SZex76ACTZstDNE0Ohwxw,9,0,4,0.00398,0.596,0.927,0.403,0.373,-3.876,0.206,0.313,128.017,313463
67BurnVkznbtKcONAbBJgg,6,0,4,0.00988,0.455,0.953,0.329,0.247,-3.784,0.0895,0.243,127.284,206250
7dsyKvOIyaFgcjfvJrCzCM,5,0,4,0.0077,0.594,0.894,0.945,0.0271,-4.39,0.0429,0.382,128.023,259219
5tYDcZjgHvRjsydcB2E8Qc,7,0,4,0.0776,0.759,0.836,8.29e-06,0.0682,-3.084,0.0432,0.648,119.957,180000
7eLaCW9B6Ft3yKAgbpzwBk,4,0,4,0.188,0.597,0.577,0.0,0.32,-6.338,0.0558,0.414,125.004,160920
0d9wHsONFbbnExtfSmLBGZ,5,0,4,0.0327,0.333,0.985,0.773,0.226,-2.843,0.0563,0.393,135.333,189826
6baeIFUZU7H15WNGS3NVkD,1,0,4,0.0138,0.301,0.957,0.918,0.283,-5.514,0.124,0.445,136.113,205411
7Feaw9WAEREY0DUOSXJLOM,5,0,4,0.179,0.661,0.723,1.23e-05,0.14,-6.976,0.0566,0.316,113.778,163805
4RVtBlHFKj51Ipvpfv5ER4,9,1,4,0.212,0.573,0.739,0.0,0.175,-5.455,0.0581,0.363,120.077,174062
23L5CiUhw2jV1OIMwthR3S,4,0,4,0.109,0.501,0.519,0.0,0.454,-5.88,0.0409,0.168,133.99,195707
3ebXMykcMXOcLeJ9xZ17XH,1,0,4,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,0.195,137.972,220883
4ut5G4rgB1ClpMTMfjoIuy,6,0,4,0.0129,0.414,0.486,0.0,0.111,-6.431,0.0311,0.368,128.038,230762
0rohJsT6NWsThpukt0Xxdc,1,1,4,0.0841,0.442,0.619,0.0,0.0889,-5.28,0.0321,0.382,128.318,206279
3nc420PXjTdBV5TN0gCFkS,0,0,4,0.584,0.506,0.693,9.58e-05,0.0891,-7.265,0.0412,0.221,139.912,216420
7pWK1kMgHy5lNNiIfuRbkP,4,1,4,0.458,0.651,0.693,0.0,0.335,-4.722,0.0375,0.392,118.97,236765
1ahVFh0ViDZr8LvkEVlq3B,11,1,4,0.129,0.44,0.635,0.0,0.121,-6.385,0.0326,0.327,128.133,207095
6RnkFd8Fqqgk1Uni8RgqCQ,0,0,4,0.00664,0.635,0.9,0.0145,0.37,-3.719,0.0377,0.15,127.978,202500
6jA8HL9i4QGzsj6fjoxp8Y,6,0,4,0.124,0.611,0.644,0.0,0.124,-7.607,0.0553,0.13,105.969,221904
1TWfkGrhF7ob0nwB2M6knb,1,1,4,0.00107,0.675,0.868,0.715,0.374,-6.36,0.0392,0.0376,128.007,304229
0OlnLZY4cmQzT6ZGttvWBM,6,0,4,0.435,0.526,0.52,0.0,0.197,-7.985,0.0569,0.13,149.119,183637
65G7XDGcybJiGywSCXJiL5,1,1,4,0.00137,0.593,0.914,0.445,0.0714,-5.351,0.0363,0.0381,128.015,176120
4aTtHoSBB0CuQGA6vXBNyp,8,0,4,0.0655,0.466,0.612,4.07e-06,0.132,-4.855,0.0307,0.236,128.114,239067
5M9jOReAKGZ2AttVefFjTY,0,1,4,0.00406,0.575,0.831,0.000449,0.111,-5.972,0.0356,0.377,127.991,223140
22zxLxXlXrBIm7XaazHNrg,2,0,4,0.0176,0.422,0.711,0.0,0.559,-4.809,0.0385,0.321,128.066,244453
5YN0zHycJ0Yxz31A5QsVov,4,1,4,0.0536,0.687,0.707,9.29e-05,0.16,-6.19,0.0328,0.607,127.033,188656
7IWTIkiWGWNQyYfOLdMrGD,4,0,4,0.0156,0.594,0.722,0.0,0.0667,-5.751,0.0398,0.407,127.877,200322
18KjYhghq6K3ZmfcewWDp6,6,0,4,0.0573,0.424,0.694,0.000937,0.133,-4.912,0.0386,0.0801,128.034,282481
6EsH66Uto1zwZlDGQ6RokU,10,0,4,0.05,0.534,0.711,0.0031,0.135,-5.927,0.0368,0.3,128.102,230635
1V0Zy7533bjXFSVtn3crzY,1,0,4,0.00296,0.597,0.736,0.921,0.0914,-7.793,0.0309,0.172,128.179,258440
2Ceq5Ty6rJqazoZIWyS0Vc,0,0,4,0.0913,0.609,0.824,2.88e-05,0.134,-8.251,0.0795,0.36,127.072,195833
55y30bh2ZUtzOXjWLxn7XT,4,0,4,0.0126,0.522,0.816,4.19e-06,0.348,-3.156,0.0643,0.102,134.103,200597
0mV5JWhyUFANd9qpwLkM8d,11,1,4,0.0455,0.584,0.79,0.0,0.213,-6.128,0.0589,0.291,127.972,239062
29CjkGjZnDVdJsfbRoNOGJ,4,1,4,0.697,0.365,0.2,0.0,0.0804,-10.972,0.0345,0.133,128.042,257357
5EwwwdsQfKI8ZnFG93j5Zu,8,0,4,0.0277,0.45,0.898,0.0616,0.166,-3.604,0.0395,0.22,127.983,218437
6nLctpnQJiPTxkaSgbPKiw,1,1,4,0.0732,0.509,0.729,2.73e-05,0.233,-4.773,0.0343,0.196,127.871,221274
22SXyL6pUjwIvGWvgGjLov,9,0,4,0.00791,0.608,0.722,2.84e-05,0.315,-5.55,0.107,0.121,128.009,252933
5HFPK8mcO6BGPZNeZPZI5L,8,1,4,0.00112,0.584,0.865,0.433,0.122,-5.951,0.0321,0.0743,126.003,163968
0PjCgQF9Zd4nKbFGyfwnVN,10,1,4,0.00248,0.514,0.697,0.000215,0.171,-6.412,0.0327,0.11,123.953,186323
5hxIWOdB3YAwuRMcdYUXNB,3,1,4,0.0192,0.611,0.835,8.92e-06,0.0963,-4.686,0.0558,0.499,127.978,315000
03IBnHJvOQBr4dy3RguAph,0,0,4,0.00569,0.667,0.871,0.00655,0.165,-4.905,0.0343,0.187,128.042,201560
6GLzN6o2fkOupy8e1vGzwp,5,0,4,0.00104,0.5,0.861,0.479,0.791,-4.834,0.0386,0.0725,128.004,199427
55nMnifaQWKe3f9cbwOXwx,5,0,4,0.00733,0.69,0.78,0.00183,0.0729,-4.446,0.0594,0.238,126.07,255238
5aRwLXpWjgXmwoJvXoYvCq,6,0,4,0.0355,0.589,0.698,0.0,0.0773,-5.491,0.0553,0.437,126.094,187381
5oAgI7Pzg6vxuKrfapg3Pi,5,1,4,0.000408,0.381,0.712,0.589,0.183,-6.9,0.0355,0.0378,127.967,255103
20hsdn8oITBsuWNLhzr5eh,7,0,4,0.000636,0.597,0.931,0.821,0.0593,-4.026,0.0329,0.267,128.031,285089
6lBQ0SMCrJ7zy1LSCuXqwV,7,0,4,0.00434,0.504,0.847,0.0,0.816,-6.81,0.0442,0.28,127.854,211890
27YP211Rr8RezhiFVDLFI8,5,0,4,0.00731,0.507,0.887,0.0,0.562,-4.084,0.141,0.336,128.015,247505
3ukWpmRHvpuDATCJkgLEkF,5,0,4,0.000762,0.595,0.86,0.598,0.155,-5.366,0.0398,0.0399,127.992,273765
2WW3PfGHh0aA2xCAyK6X1J,7,0,4,0.00429,0.502,0.756,0.769,0.377,-6.118,0.0363,0.062,128.125,248447
6JEntXLt4z98CcDtIH9sU7,1,1,4,0.00165,0.677,0.866,0.662,0.412,-6.403,0.0392,0.0386,128.005,303827
1CT9ebtobcouQw7G9mZ9AV,7,0,4,0.0104,0.584,0.96,0.516,0.175,-4.492,0.0379,0.165,128.003,206450
24tVqMiAtv8jmpNPhBEsDY,5,0,5,0.021,0.495,0.831,4.79e-05,0.495,-5.812,0.0319,0.414,128.064,192632
4hfYGVqQ0ElgeibMocRUvi,7,1,4,0.00734,0.593,0.907,0.735,0.484,-4.991,0.0684,0.244,127.964,281667
