id,name,popularity,genre,album,artists,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,duration_ms
7JctvuYNGJaZNNvSvM01HA,Is Anybody Out There,10,acoustic,Is Anybody Out There,Tyler Ward;Alex G,0,1,4,0.781,0.401,0.345,0.0,0.105,-10.352,0.0376,0.314,169.863,197706
3xUZnzg858ZXHVGCYOuSKb,And Tonight,14,acoustic,Lily & Madeleine,Lily & Madeleine,9,1,3,0.825,0.321,0.314,0.0,0.107,-9.43,0.0299,0.196,121.82,177527
7Dij8mBegb8uhckk1TRJUz,Wake Me Up,49,acoustic,"Cover Sessions, Vol. 3",Boyce Avenue;Jennel Garcia,1,1,4,0.84,0.451,0.21,0.0,0.0842,-9.936,0.0369,0.365,100.028,203575
6oVt9GBbquoFDz3VTPFe1e,Lullaby,39,acoustic,Attempted Mustache,Loudon Wainwright III,0,1,4,0.541,0.566,0.168,0.0349,0.107,-16.778,0.0387,0.282,115.643,177707
3ShCJTrnhjvUpL234S4QbJ,Stay,45,acoustic,Stay,Shaun Reynolds;Laura Pringle,9,0,4,0.927,0.594,0.344,0.0,0.111,-9.602,0.0354,0.32,111.735,242925
5bSPF76iSpI5p00BALV8uo,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",53,acoustic,Where the Light Is: John Mayer Live In Los Angeles,John Mayer,2,1,3,0.766,0.532,0.38,0.0,0.936,-11.008,0.0312,0.409,121.62,304600
0EYKD5N0mldDeVTCzCfzqr,Thrift Shop,40,acoustic,"1 Original, ONE Cover",Tyler Ward;Lindsey Stirling,9,0,4,0.553,0.707,0.533,0.0,0.0926,-5.794,0.0416,0.472,94.987,224526
15KpGwqvGCINiJUp8mVOIh,Every Breath,31,acoustic,All We Have Left,Boyce Avenue,0,1,4,0.00155,0.514,0.758,0.0,0.0875,-4.925,0.0327,0.203,111.956,254120
3JhNsyNQSyrsHcnFRHZN1e,Black Flies,57,acoustic;acoustic;singer-songwriter;singer-songwriter,Every Kingdom,Ben Howard,8,1,4,0.44,0.581,0.36,0.00589,0.0924,-13.174,0.0289,0.107,132.469,381507
3V1H6liHwCDcWeqdPJabOM,Wicked Game - Acoustic; Live,68,acoustic,Come What(ever) May [10th Anniversary Edition],Stone Sour,8,1,4,0.644,0.561,0.337,8.79e-05,0.67,-9.272,0.0284,0.273,109.373,267253
0GE8sVpRYoMamNcfLGObxY,"My Hero - Live at the Pantages Theatre, Los Angeles, CA - August 2006",51,acoustic,Skin And Bones (Live),Foo Fighters,4,1,4,0.0137,0.312,0.817,0.000465,0.959,-6.16,0.0604,0.184,134.428,291080
0rFOs9paloAvEtzwDX1Kmc,Bubbly,70,acoustic;acoustic;sleep;sleep,Coco,Colbie Caillat,9,1,4,0.603,0.697,0.474,0.0,0.11,-6.663,0.0351,0.249,127.904,196280
4LloVtxNZpeh7q7xdi1DQc,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",75,acoustic;acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;chill;guitar;guitar;guitar;guitar;guitar;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;sleep;sleep;sleep;sleep;sleep,Where the Light Is: John Mayer Live In Los Angeles,John Mayer,5,1,4,0.771,0.315,0.296,0.0,0.702,-13.262,0.0317,0.436,172.638,263573
6noFt46M3RLuVz1qzcISzv,Lullaby (Mountain),14,acoustic,Glory Hope Mountain,The Acorn,2,1,4,0.838,0.475,0.288,0.00797,0.0991,-16.794,0.0291,0.178,89.431,260133
0SLqTkq9kCjZ6nInPd0rFI,Never Say Never,18,acoustic,Tyler Ward Covers Volume 1,Tyler Ward,8,1,4,0.814,0.369,0.369,0.0,0.171,-8.213,0.0311,0.455,82.504,162872
28S7WCQw7rLVzwbEBKvFrq,I've Got This Friend,22,acoustic;acoustic;study;study,Barton Hollow,The Civil Wars,2,1,4,0.873,0.625,0.296,8.77e-05,0.147,-11.453,0.0327,0.303,90.023,203867
3XsQljVSwXVrBl2yUmftAc,Blue Moon - Live From KCRW / 2014,28,acoustic,Beck (Live From KCRW / 2014),Beck,0,1,4,0.149,0.491,0.828,0.00955,0.958,-7.167,0.0628,0.473,122.871,262867
37928J06bQreiIuhZvRlWQ,When the Lights Die,24,acoustic,All We Have Left,Boyce Avenue,2,1,4,0.0286,0.412,0.749,0.0,0.0726,-4.657,0.0404,0.264,136.019,263867
5mb6SzBnxv1ywFSH9V3uxd,Delicate,50,acoustic;acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;chill;sad;sad;sad;sad;sad;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;sleep;sleep;sleep;sleep;sleep,O,Damien Rice,5,1,4,0.684,0.34,0.144,0.00112,0.101,-14.502,0.0419,0.147,81.179,312067
4ChDXpei5buHghjlcjkhul,The Girl,43,acoustic,The Myspace Transmissions,City and Colour,9,1,4,0.927,0.517,0.156,0.00191,0.109,-16.186,0.0315,0.348,77.155,147675
62nxDx2RXkzCr9nU83nJJ4,"Redemption Song - Live At The Stanley Theatre, 9/23/1980",37,acoustic,"Live Forever: The Stanley Theatre, Pittsburgh, PA, 9/23/1980",Bob Marley & The Wailers,0,1,4,0.0233,0.596,0.572,0.0,0.341,-12.528,0.085,0.602,119.317,248000
4eiWWDbWczW2GLqg6Lyg48,Cups,36,acoustic,Cups,Lulu & The Lampshades,6,1,4,0.496,0.93,0.854,5.23e-05,0.0675,-6.138,0.228,0.767,128.087,130500
29bKqMMXKu9NzGrPzR1y5l,Bad Romance,38,acoustic,Covered up with Flowers,Lissie,9,0,4,0.000568,0.409,0.631,0.000733,0.69,-5.105,0.029,0.263,116.209,340693
1c7UYTut2SBOPq64o2t0uN,Why Georgia,65,acoustic;acoustic;guitar;guitar,Room For Squares,John Mayer,7,1,4,0.0208,0.608,0.639,5.94e-05,0.0893,-7.205,0.0246,0.369,96.915,268973
0TAmnCzOtqRfvA38DDLTjj,Little Things,79,acoustic;acoustic;study;study,Take Me Home (Expanded Edition),One Direction,7,1,4,0.811,0.709,0.22,0.0,0.175,-11.856,0.0327,0.53,110.076,219040
6mFzy1Jha9RSCcQAJZ1M6y,Gangnam Style,41,acoustic,Gangnam Style,Jayesslee,0,0,4,0.8,0.825,0.391,0.0,0.276,-10.827,0.0518,0.591,114.07,182800
1xgN9KBVVoTNygpYjpXnvH,Runaway Love,53,acoustic,My World 2.0,Justin Bieber,10,0,4,0.0833,0.754,0.65,0.0,0.177,-6.046,0.0316,0.924,104.023,212573
6rGuk68zItaMzFGTlWF1bW,You're the One That I Want,39,acoustic,You're the One That I Want,The Lennings,11,0,4,0.849,0.674,0.303,0.405,0.105,-11.012,0.0329,0.74,145.063,179017
1nuqzCMgj2lxZCmpdCmIGv,A Lack of Color,38,acoustic;acoustic;acoustic;sad;sad;sad;study;study;study,The O.C. Vol. 2,Death Cab for Cutie,3,1,4,0.805,0.635,0.337,0.00256,0.142,-12.125,0.0288,0.357,135.826,216427
0NbUQSA1riaxzDQL4R5jdF,When She Cries,30,acoustic,Dreamcatcher,Andy McKee,0,1,4,0.843,0.263,0.407,0.843,0.12,-13.672,0.0365,0.39,146.026,223307
6mM3zAPOuNkNDytJCDGz96,Naïve - BBC Radio 1's Jo Whiley's Live Lounge,49,acoustic,"Alright, Still (Deluxe)",Lily Allen,11,1,4,0.537,0.681,0.258,4.91e-06,0.0826,-14.104,0.106,0.43,96.885,226307
6QPKYGnAW9QozVz2dSWqRg,Someone Like You,80,acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;german;german;german;german;sleep;sleep;sleep;sleep,21,Adele,9,1,4,0.893,0.554,0.321,0.0,0.0996,-8.251,0.028,0.288,135.047,285240
1KqlVt63Q4bl1VdSlymr5C,Riptide,56,acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;acoustic;alternative;alternative;alternative;alternative;alternative;alternative;alternative;french;french;french;french;french;french;french;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;road-trip;road-trip;road-trip;road-trip;road-trip;road-trip;road-trip;romance;romance;romance;romance;romance;romance;romance;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter,Riptide,Vance Joy,1,1,4,0.431,0.484,0.731,0.0,0.151,-6.694,0.0379,0.51,101.654,204280
3CAX47TnPqTujLIQTw8nwI,Old Pine,71,acoustic;acoustic;acoustic;acoustic;acoustic;guitar;guitar;guitar;guitar;guitar;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;singer-songwriter;sleep;sleep;sleep;sleep;sleep;summer;summer;summer;summer;summer,Every Kingdom,Ben Howard,5,1,4,0.45,0.401,0.364,0.0503,0.162,-10.836,0.033,0.224,129.57,328507
5h3Wapr8ZukuHRZ5XMMejV,Payphone,52,acoustic,Payphone,Jayesslee,0,1,4,0.845,0.757,0.281,0.0,0.342,-12.106,0.0442,0.653,104.858,184000
03czT1nVZDRv2JlpY2GxON,The Longer I Run,50,acoustic;acoustic;acoustic;folk;folk;folk;singer-songwriter;singer-songwriter;singer-songwriter,Leavetaking,Peter Bradley Adams,3,1,4,0.732,0.602,0.52,0.221,0.0982,-10.831,0.028,0.523,151.912,251453
0cBDCol7TFmvpT4A4YpxV3,Below My Feet,49,acoustic;acoustic;bluegrass;bluegrass,Babel (Deluxe Version),Mumford & Sons,11,1,4,0.0591,0.454,0.415,0.00361,0.0831,-9.554,0.0359,0.136,129.621,290813
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,79,acoustic;acoustic;acoustic;acoustic;acoustic;british;british;british;british;british;rainy-day;rainy-day;rainy-day;rainy-day;rainy-day;sad;sad;sad;sad;sad;study;study;study;study;study,Eyes Open,Snow Patrol,9,1,4,0.209,0.563,0.592,5.08e-05,0.132,-4.571,0.0276,0.136,104.016,267933
2MWkKAf2CoEtERIvi0EUj9,Be Good or Be Gone,39,acoustic,The End of History,Fionn Regan,8,1,4,0.942,0.596,0.276,0.194,0.112,-12.508,0.0367,0.431,93.919,199840
0WrRlCHmD7LzpJa8chDz2h,"Piazza, New York Catcher",50,acoustic,Dear Catastrophe Waitress,Belle & Sebastian,3,0,4,0.813,0.618,0.305,0.0,0.1,-15.107,0.0372,0.833,105.714,183493
4oa14QBfWRDfJy2agySy0L,Gravity,72,acoustic;acoustic;romance;romance,Little Voice,Sara Bareilles,0,1,4,0.834,0.27,0.275,0.0,0.146,-10.357,0.0356,0.231,168.964,232760
3uCiNM0Oj1x0ESuKlvstGi,The Last Day on Earth,27,acoustic,Curiouser,Kate Miller-Heidke,0,1,4,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,0.168,79.002,287093
6epn3r7S14KUqlReYr77hA,Baby,78,acoustic;acoustic;acoustic;acoustic;disco;disco;disco;disco;rainy-day;rainy-day;rainy-day;rainy-day;techno;techno;techno;techno,My World 2.0,Justin Bieber;Ludacris,5,0,4,0.0401,0.728,0.859,0.0,0.111,-5.237,0.137,0.535,65.043,214240
2IMIbiJlbi0pIs3FBpKFhS,Warwick Avenue,50,acoustic;acoustic;acoustic;acoustic;chill;chill;chill;chill;rainy-day;rainy-day;rainy-day;rainy-day;soul;soul;soul;soul,Rockferry,Duffy,0,0,4,0.339,0.493,0.59,0.0,0.121,-5.814,0.0392,0.502,169.908,226387
48n1I2c0LoooxW8msSeyDl,The Years,30,acoustic,Something Positive,Jack and the Weatherman,11,1,4,0.618,0.773,0.404,0.0,0.0996,-7.472,0.0818,0.764,99.605,258133
3XtkcPHbYX0BImTQLlbSVN,Say Yes,54,acoustic;acoustic;acoustic;folk;folk;folk;rainy-day;rainy-day;rainy-day,Either/Or,Elliott Smith,5,1,4,0.871,0.499,0.0875,0.000221,0.11,-20.383,0.05,0.418,153.439,139000
6QeLUyIfNHCJhEMSPGwDgi,Hey Ya - solo version,56,acoustic,The Tip Jar Volume One,Obadiah Parker,1,0,4,0.665,0.661,0.184,0.0,0.106,-13.644,0.038,0.357,140.006,298801
1j5cGcXWdHKTPQ2XgXODJI,I'm Yours - Live on HSN Live,56,acoustic,Spotify Sessions,Jason Mraz,11,1,4,0.697,0.428,0.694,0.0,0.764,-8.455,0.0978,0.574,145.353,243942
5hR8gKNiHS1r1Sdc2hjiFl,In The Morning,29,acoustic,Birthdays (Deluxe Edition),Keaton Henson,2,1,4,0.892,0.455,0.17,0.192,0.217,-14.594,0.0484,0.227,73.014,241107
6TVs7Lap6ZcrpZk1xfOgtv,Perth,54,acoustic;acoustic;acoustic;sad;sad;sad;singer-songwriter;singer-songwriter;singer-songwriter,Bon Iver,Bon Iver,0,0,4,0.855,0.468,0.453,0.552,0.326,-14.463,0.0464,0.0679,119.932,262080
0aIXPVVZArfwTOrPYSOaa5,Mr Bojangles,56,acoustic,Swing When You're Winning,Robbie Williams,2,0,3,0.719,0.512,0.325,2.16e-06,0.184,-10.549,0.108,0.27,137.118,197800
13GnQZ3btZDlBKSp0C4467,Blue Liquid,34,acoustic,Joyland,Andy McKee,11,1,4,0.665,0.545,0.461,0.875,0.11,-12.556,0.0439,0.745,90.276,326093
1Eo4i29XyJeCLf3j551GvN,Boyfriend,18,acoustic,Boyfriend,Tyler Ward,8,0,4,0.175,0.715,0.598,0.0,0.0656,-6.499,0.0958,0.845,96.998,188196
5yVIlYEHZxQVLyInCdldoS,Impossible,80,acoustic,James Arthur (Deluxe),James Arthur,0,0,4,0.141,0.376,0.696,0.0,0.11,-4.785,0.0949,0.303,169.515,209440
0uWQ791yCcRagdvdq1lma5,Mississippi-Mali Blues,10,afrobeat,Kulanjan,Taj Mahal;Toumani Diabaté,0,0,4,0.892,0.855,0.304,0.922,0.0831,-13.163,0.0657,0.809,82.57,197960
0Jt2HSGLDJmUje0kIkq5hj,M' Bife,48,afrobeat;world-music,Dimanche a Bamako,Amadou & Mariam,7,1,4,0.815,0.731,0.591,0.00999,0.208,-7.232,0.0255,0.415,108.998,131133
0x3T8PGQH5xeZ1towZqecI,Ndihamba Nawe,40,afrobeat,Sibongile,Mafikizolo,2,1,4,0.0474,0.747,0.855,0.715,0.0804,-4.967,0.0312,0.371,109.459,351053
1rVyxy6CRo3dB5z5oNKZfc,Swagger,30,afrobeat,Life Is Rough & Smooth,Ruff-N-Smooth;Stay Jay,9,0,4,0.23,0.747,0.78,0.0,0.11,-10.149,0.0398,0.915,109.991,283220
2MizrSS2JL0bdjRnrx3oy3,Sana,21,afrobeat,Le rendez-vous des stades,Kanda Bongo Man,7,1,4,0.172,0.703,0.889,0.00237,0.119,-10.058,0.033,0.89,134.025,239187
5wUA6MSNGGORassu6tHnAJ,Sabu Yerkoy,43,afrobeat;world-music,Ali & Toumani,Ali Farka Touré;Toumani Diabaté,4,1,4,0.787,0.599,0.364,0.0658,0.0614,-12.63,0.0333,0.697,81.317,248987
45BOStqfS9payuTWyCJFuH,Tounka,6,afrobeat,Tchamantché,Rokia Traoré,0,1,4,0.736,0.732,0.647,2.44e-06,0.0808,-6.548,0.0377,0.963,134.908,189707
1d4tXV7LVrAXcrJVY9DXDu,Kalakuta Show,3,afrobeat,Kalakuta Show,Fela Kuti,2,1,4,0.428,0.782,0.882,0.294,0.335,-7.699,0.224,0.268,101.913,871600
5J91ybNMSHJCbb99lYUGv7,Miyaabele,21,afrobeat,Missing You (Mi Yeewnii),Baaba Maal,7,1,3,0.878,0.436,0.548,0.000398,0.128,-9.008,0.0388,0.511,168.978,234893
